CD_BAIRRO,NM_BAIRRO,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034
3304557090,Praça Seca,24335,16978,4218,3128,0,11,23743,581,11,20023,4301,11,22978,1346,11,4124,20200,11,2301,22023,11,18839,5485,11,13113,5726,5496,5786,13053,5496,9502,3512,2905,8405,11
3304557091,Vila Valqueire,13103,10460,2060,583,0,0,13063,40,0,12657,446,0,13022,81,0,2060,11043,0,534,12569,0,11998,1105,0,8891,3107,1105,444,11554,1105,2491,1953,1901,6758,0
3304557092,Deodoro,3787,3283,432,72,0,0,3755,32,0,3239,548,0,3545,242,0,162,3625,0,0,3787,0,3264,523,0,3131,133,523,589,2675,523,2015,807,287,678,0
3304557093,Vila Militar,4699,2492,1920,287,0,0,4694,5,0,4434,265,0,4517,182,0,322,4377,0,0,4699,0,3607,1092,0,2972,635,1092,1833,1774,1092,2281,681,233,1504,0
3304557094,Campo dos Afonsos,651,651,0,0,0,0,651,0,0,646,5,0,646,5,0,12,639,0,0,651,0,651,0,0,597,54,0,0,651,0,63,61,34,493,0
3304557095,Jardim Sulacap,5322,5180,41,101,0,0,5318,4,0,4835,487,0,5322,0,0,1501,3821,0,0,5322,0,4988,334,0,3423,1565,334,331,4657,334,664,1225,602,2831,0
3304557096,Magalhães Bastos,7927,5353,1581,993,0,0,7927,0,0,6748,1179,0,7881,46,0,895,7032,0,0,7927,0,6507,1420,0,4956,1551,1420,1420,5087,1420,3154,1534,1194,2045,0
3304557097,Realengo,63819,50889,10072,2857,0,1,62988,830,1,57305,6513,1,63118,700,1,5877,57941,1,530,63288,1,53694,10124,1,45836,7858,10125,6369,47325,10125,24001,13309,8238,18270,1
3304557098,Padre Miguel,21905,17855,2705,1265,0,80,20981,844,80,19272,2553,80,21669,156,80,1880,19945,80,54,21771,80,19146,2679,80,16607,2539,2759,1473,17673,2759,8580,4883,2273,6089,80
3304557099,Bangu,76439,61019,10637,4731,0,52,73257,3130,52,68199,8188,52,75233,1154,52,4412,71975,52,1516,74871,52,66151,10236,52,54707,11444,10288,4919,61232,10288,34169,16657,8286,17275,52
3304557100,Senador Camará,41455,27088,9546,4057,0,764,39241,1450,764,35328,5363,764,38516,2175,764,2031,38660,764,309,40382,764,33854,6837,764,26864,6990,7601,2548,31306,7601,20711,8807,4365,6808,764
3304557101,Santíssimo,17879,13671,3036,1169,0,3,16260,1616,3,13654,4222,3,17473,403,3,625,17251,3,35,17841,3,14108,3768,3,11402,2706,3771,749,13359,3771,8622,4384,2091,2779,3
3304557102,Campo Grande,129795,116819,11011,1894,0,71,122165,7559,71,110956,18768,71,127268,2456,71,13534,116190,71,1702,128022,71,114983,14741,71,92370,22613,14812,9777,105206,14812,34090,30118,21241,44275,71
3304557103,Senador Vasconcelos,12146,10804,916,426,0,0,11779,367,0,10694,1452,0,12099,47,0,1165,10981,0,153,11993,0,10896,1250,0,8784,2112,1250,1789,9107,1250,5022,3069,1410,2645,0
3304557104,Inhoaíba,25817,24332,1100,384,0,1,24592,1224,1,22858,2958,1,24989,827,1,933,24883,1,813,25003,1,24346,1470,1,19809,4537,1471,2441,21905,1471,11063,7446,3769,3538,1
3304557105,Cosmos,35090,32333,2308,449,0,0,32964,2126,0,31327,3763,0,34396,694,0,4241,30849,0,1780,33310,0,33016,2074,0,25812,7204,2074,3775,29241,2074,12515,11378,4850,6347,0
3304557106,Paciência,37986,34700,2766,497,0,23,33732,4231,23,31924,6039,23,36726,1237,23,3079,34884,23,557,37406,23,32102,5861,23,23149,8953,5884,3515,28587,5884,22076,9244,2751,3892,23
3304557107,Santa Cruz,88281,74812,8900,4029,0,540,72381,15360,540,64495,23246,540,83279,4462,540,8136,79605,540,3079,84662,540,64889,22852,540,46317,18572,23392,6281,58608,23392,49200,15547,7597,15397,540
3304557108,Sepetiba,20679,16833,3570,269,0,7,18817,1855,7,17939,2733,7,20224,448,7,2089,18583,7,292,20380,7,17812,2860,7,14234,3578,2867,2876,14936,2867,12809,4862,1493,1508,7
3304557109,Ribeira,1426,1426,0,0,0,0,1426,0,0,1346,80,0,1426,0,0,214,1212,0,590,836,0,1426,0,0,1296,130,0,222,1204,0,221,197,236,772,0
3304557110,Zumbi,738,738,0,0,0,0,738,0,0,738,0,0,738,0,0,153,585,0,183,555,0,738,0,0,569,169,0,22,716,0,14,196,66,462,0
3304557111,Cacuia,4124,3901,200,23,0,0,4118,6,0,3914,210,0,4123,1,0,421,3703,0,301,3823,0,3371,753,0,3147,224,753,170,3201,753,1761,957,534,872,0
3304557112,Pitangueiras,3932,2008,212,1697,0,15,3915,2,15,1897,2020,15,3845,72,15,298,3619,15,339,3578,15,1891,2026,15,1883,8,2041,96,1795,2041,2224,379,513,801,15
3304557113,Praia da Bandeira,2054,2054,0,0,0,0,2054,0,0,2054,0,0,2054,0,0,204,1850,0,67,1987,0,2054,0,0,1033,1021,0,0,2054,0,951,286,169,648,0
3304557114,Cocotá,1991,1827,25,139,0,0,1991,0,0,1723,268,0,1852,139,0,520,1471,0,86,1905,0,1701,290,0,531,1170,290,233,1468,290,279,248,184,1280,0
3304557115,Bancários,4400,3059,1005,336,0,0,4388,12,0,3653,747,0,4376,24,0,301,4099,0,215,4185,0,3826,574,0,3272,554,574,38,3788,574,1832,829,368,1371,0
3304557116,Freguesia (Ilha do Governador),5941,4414,854,673,0,0,5935,6,0,5177,764,0,5849,92,0,607,5334,0,109,5832,0,5242,699,0,4108,1134,699,11,5231,699,1672,1362,696,2211,0
3304557117,Jardim Guanabara,10534,7411,2984,139,0,0,10534,0,0,10405,129,0,10443,91,0,1189,9345,0,795,9739,0,10290,244,0,9437,853,244,224,10066,244,1387,1319,1271,6557,0
3304557118,Jardim Carioca,8154,6390,1008,756,0,0,7897,257,0,7644,510,0,8148,6,0,479,7675,0,0,8154,0,7099,1055,0,6552,547,1055,144,6955,1055,3098,1556,1263,2237,0
3304557119,Tauá,10118,6148,858,3087,0,25,10046,47,25,7659,2434,25,9736,357,25,1410,8683,25,528,9565,25,5964,4129,25,4785,1179,4154,196,5768,4154,5147,1272,1037,2637,25
3304557120,Moneró,2245,2245,0,0,0,0,2245,0,0,2245,0,0,2245,0,0,1234,1011,0,222,2023,0,2245,0,0,1100,1145,0,448,1797,0,64,117,42,2022,0
3304557121,Portuguesa,7991,6671,577,740,0,3,7988,0,3,6789,1199,3,7904,84,3,918,7070,3,480,7508,3,6379,1609,3,4001,2378,1612,1158,5221,1612,2174,706,771,4337,3
3304557122,Galeão,7538,3913,1788,1660,0,177,7023,338,177,5116,2245,177,6267,1094,177,63,7298,177,0,7361,177,3667,3694,177,3458,209,3871,51,3616,3871,4803,1319,446,793,177
3304557123,Cidade Universitária,432,42,386,0,0,4,423,5,4,417,11,4,428,0,4,0,428,4,0,428,4,356,72,4,356,0,76,121,235,76,175,148,49,56,4
3304557124,Guadalupe,16090,13134,2414,534,0,8,15611,471,8,12841,3241,8,15371,711,8,914,15168,8,0,16082,8,15015,1067,8,12448,2567,1075,865,14150,1075,5970,3531,2110,4471,8
3304557125,Anchieta,19831,16894,2438,496,0,3,19727,101,3,17058,2770,3,19723,105,3,2193,17635,3,135,19693,3,19043,785,3,16558,2485,788,1247,17796,788,6899,6173,2701,4055,3
3304557126,Parque Anchieta,8340,8212,128,0,0,0,8340,0,0,7226,1114,0,8340,0,0,700,7640,0,148,8192,0,8338,2,0,6805,1533,2,207,8131,2,664,1291,1638,4747,0
3304557127,Ricardo de Albuquerque,9915,4152,5593,170,0,0,9492,423,0,8476,1439,0,9360,555,0,951,8964,0,0,9915,0,9274,641,0,7727,1547,641,2208,7066,641,3484,2354,1384,2693,0
3304557128,Santa Teresa,16026,11847,863,3314,0,2,15750,274,2,13578,2446,2,15720,304,2,2658,13366,2,145,15879,2,12302,3722,2,10998,1304,3724,1489,10813,3724,9119,1994,1003,3908,2
3304557129,Joá,374,374,0,0,0,0,374,0,0,347,27,0,374,0,0,80,294,0,0,374,0,374,0,0,268,106,0,0,374,0,0,0,0,374,0
3304557130,Itanhangá,26737,10820,8611,7305,0,1,25330,1406,1,19877,6859,1,25916,820,1,2035,24701,1,242,26494,1,15822,10914,1,12201,3621,10915,2026,13796,10915,13235,4269,2339,6893,1
3304557131,Barra da Tijuca,62815,58311,2916,1528,60,0,62489,266,60,58248,4507,60,61372,1383,60,11898,50857,60,10448,52307,60,59913,2842,60,13568,46345,2902,33747,26166,2902,1366,2314,4319,54756,60
